,vote_average,name
0,7.158823529411763,Music
1,7.123076923076924,History
2,7.076190476190476,War
3,6.976136363636363,Animation
4,6.959305210918109,Drama
5,6.9,TV Movie
6,6.823239436619717,Romance
7,6.778813559322034,Family
8,6.669387755102043,Mystery
9,6.635714285714286,Western
10,6.634042553191488,Crime
11,6.580582524271847,Comedy
12,6.579781420765024,Science Fiction
13,6.551383399209485,Adventure
14,6.50173010380623,Thriller
15,6.472321428571428,Action
16,6.4715189873417724,Fantasy
17,6.180341880341882,Horror
