genre,averagerating,numvotes,num_movies,enthusiasm_score
Adventure,5930.699999999997,77608919.0,2404,32.3
Action,9409.59999999999,87800044.0,3081,28.5
Comedy,17322.90000000004,62101462.0,2229,27.9
Crime,7130.800000000004,33647516.0,1271,26.5
Biography,4764.100000000008,17930187.0,693,25.9
Horror,10150.200000000052,19264041.0,743,25.9
Romance,7498.999999999984,21282868.0,826,25.8
Animation,2182.899999999999,13728809.0,559,24.6
Thriller,12234.599999999993,38271975.0,1775,21.6
Sci-Fi,3659.399999999999,39647088.0,1860,21.3
Mystery,4491.0999999999985,21615559.0,1037,20.8
Fantasy,2744.500000000001,23148847.0,1237,18.7
Drama,32491.79999999978,95070611.0,5447,17.5
Family,3204.0,7783925.0,508,15.3
History,2695.6,5889126.0,398,14.8
Sport,1577.9000000000021,2941605.0,240,12.3
Music,2262.5000000000005,4120750.0,356,11.6
Documentary,13041.699999999948,2972465.0,342,8.7
