genre,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Action,7.2,6.5,6.5,7.0,6.3,6.5,7.7,6.7,7.9,10.7
Adventure,3.3,3.8,3.8,4.8,3.8,4.1,4.2,4.1,4.6,5.4
Animation,1.4,1.5,1.9,1.4,1.1,1.4,1.3,1.2,1.2,2.1
Biography,2.4,2.5,2.2,3.2,3.2,3.2,2.4,2.5,2.7,3.3
Comedy,13.1,12.9,13.7,11.2,12.0,11.6,11.7,11.6,11.7,12.7
Crime,4.8,4.7,4.9,4.8,4.7,4.4,5.0,5.6,5.0,4.4
Documentary,8.1,8.6,8.1,7.4,7.7,7.7,7.2,7.0,4.8,3.9
Drama,22.3,21.5,21.1,21.2,20.3,21.7,21.6,21.3,22.6,20.6
Family,2.5,2.3,2.0,2.3,2.6,2.8,2.0,1.6,1.8,1.6
Fantasy,1.6,1.9,1.8,2.0,2.1,2.0,2.1,2.1,2.4,2.6
History,1.6,1.5,2.1,1.5,1.9,1.3,1.8,1.3,1.2,0.5
Horror,7.4,7.7,8.5,8.9,9.3,9.2,9.4,9.7,8.7,6.2
Music,1.5,1.7,1.3,1.1,1.6,1.4,1.0,1.3,1.3,1.2
Musical,0.4,0.5,0.4,0.1,0.2,0.2,0.4,0.7,0.3,0.2
Mystery,2.6,3.1,2.9,3.0,3.3,3.4,3.3,3.9,3.6,3.3
Romance,6.5,5.4,4.9,5.0,5.3,4.6,4.3,4.6,4.8,5.3
Sci-Fi,2.8,2.8,2.5,3.3,2.7,3.1,2.7,3.1,3.4,3.0
Sport,0.8,1.0,0.9,1.0,1.2,0.8,1.0,0.7,1.0,1.4
Thriller,8.8,8.6,9.4,9.7,9.7,9.3,9.7,9.8,9.9,10.0
War,0.6,0.7,0.4,0.5,0.5,0.5,0.5,0.8,0.6,1.2
Western,0.2,0.5,0.3,0.2,0.4,0.3,0.3,0.5,0.5,0.4
